,precipIntensity,precipProbability,temperature,windSpeed,label
1312,0.0,0.0,45.76,13.39,0
1313,0.0,0.0,46.18,15.76,0
1314,0.0,0.0,46.6,15.12,0
1315,0.0,0.0,45.71,14.39,0
1316,0.0,0.0,45.24,13.37,0
1317,0.0,0.0,44.69,11.43,0
1318,0.0,0.0,43.31,12.95,0
1319,0.0,0.0,42.89,11.17,0
1320,0.0,0.0,42.8,10.99,0
1321,0.002,0.07,42.19,6.92,0
1322,0.0,0.0,41.87,5.1,0
1323,0.0,0.0,40.74,7.19,0
1324,0.0,0.0,40.52,5.57,0
1325,0.0,0.0,39.66,5.58,0
1326,0.0,0.0,39.59,4.73,0
1327,0.0,0.0,39.07,6.54,0
1328,0.002,0.33,39.57,6.92,0
1329,0.005,0.64,38.43,7.52,0
1330,0.0,0.0,37.15,4.47,0
1331,0.0,0.0,36.32,4.96,0
1332,0.0,0.0,36.13,5.92,0
1333,0.0,0.0,37.27,8.23,0
1334,0.0,0.0,38.26,9.26,0
1335,0.0,0.0,39.72,9.84,0
1336,0.0,0.0,40.86,8.94,0
1337,0.0,0.0,43.37,8.47,0
1338,0.0,0.0,44.08,10.5,0
1339,0.0,0.0,44.76,10.06,0
1340,0.0,0.0,44.51,8.04,0
1341,0.0,0.0,42.9,6.58,0
1342,0.0,0.0,40.54,4.48,0
1343,0.0,0.0,37.64,4.6,0
1344,0.0,0.0,34.1,3.53,0
1345,0.0,0.0,33.22,2.56,0
1346,0.0,0.0,32.84,2.81,0
1347,0.0,0.0,32.63,3.21,1
1348,0.0,0.0,33.37,4.78,1
1349,0.0,0.0,33.67,4.35,1
1350,0.0,0.0,35.21,5.09,1
1351,0.0,0.0,35.66,4.69,1
1352,0.0,0.0,37.53,6.21,1
1353,0.0,0.0,39.68,8.84,1
1354,0.005,0.41,42.75,9.76,1
1355,0.027000000000000003,1.0,44.17,12.47,1
1356,0.051,1.0,46.04,14.29,1
1357,0.037000000000000005,1.0,47.7,17.8,1
1358,0.019,0.91,49.32,18.71,1
1359,0.01,0.93,51.42,16.62,1
1360,0.003,0.32,53.77,17.37,1
1361,0.004,0.32,56.16,14.19,1
1362,0.013000000000000001,0.41,56.08,20.23,1
1363,0.013999999999999999,0.57,53.47,15.49,1
1364,0.003,0.17,51.24,15.34,1
1365,0.0,0.0,50.1,10.81,1
1366,0.0,0.0,48.98,12.16,1
1367,0.0,0.0,48.99,13.85,1
1368,0.002,0.32,49.33,16.2,1
1369,0.0,0.0,49.64,15.96,1
1370,0.002,0.05,49.65,14.2,1
1371,0.0,0.0,49.88,14.79,1
1372,0.0,0.0,50.29,15.74,1
1373,0.0,0.0,50.71,15.85,1
1374,0.0,0.0,50.67,18.17,1
1375,0.0,0.0,50.37,16.54,1
1376,0.0,0.0,50.13,15.68,1
1377,0.0,0.0,49.77,15.7,1
1378,0.0,0.0,49.72,14.78,1
1379,0.0,0.0,48.88,12.34,1
1380,0.0,0.0,48.96,14.37,1
1381,0.0,0.0,49.91,16.55,1
1382,0.0,0.0,51.94,16.22,1
1383,0.0,0.0,53.6,20.33,1
1384,0.0,0.0,53.68,19.71,1
1385,0.0,0.0,53.22,16.98,1
